用户ID,年龄,性别,历史订单数量,购买频率,平均消费金额,优惠券使用,配送距离,是否购买,购买金额,购买等级
95342,31,女,22,6,48.67,0,3.08,0,0,未购买
95343,24,男,20,3,44,1,2.32,0,0,未购买
95344,43,男,16,12,54.97,1,1.63,0,0,未购买
95345,29,男,20,7,43.17,0,3.01,0,0,未购买
95346,32,男,15,11,57.92,1,9.4,0,0,未购买
95347,30,女,23,12,43.03,1,3.41,0,0,未购买
95348,18,男,19,4,57.47,0,5.01,0,0,未购买
95349,35,女,13,7,58.26,1,1.1,1,413.82,中
95350,18,女,21,5,94.12,0,3.03,1,416.97,中
95351,41,女,12,5,21.9,0,3.29,0,0,未购买
95352,41,女,22,5,62.84,0,1.63,0,0,未购买
95353,34,男,19,8,79.95,0,2.77,0,0,未购买
95354,23,男,14,5,61.56,0,6.37,0,0,未购买
95355,40,男,23,8,15,1,3.63,0,0,未购买
95356,18,女,14,4,75.23,1,2.46,0,0,未购买
95357,35,男,15,7,51.38,1,2.96,0,0,未购买
95358,48,女,11,7,34.6,1,2.4,0,0,未购买
95359,38,女,11,6,47.17,0,4.94,0,0,未购买
95360,29,女,17,4,51.77,0,3.06,0,0,未购买
95361,23,女,17,3,48.55,1,7.19,0,0,未购买
95362,60,女,14,6,51.04,0,2.62,0,0,未购买
95363,31,女,22,4,21.73,0,2.28,0,0,未购买
95364,33,女,18,7,48.7,1,3.87,0,0,未购买
95365,30,男,18,10,67.99,1,4.03,1,694.04,高
95366,25,男,19,3,42.4,0,1.96,0,0,未购买
95367,18,女,21,7,46.01,0,3.66,0,0,未购买
95368,29,男,14,7,65.49,0,2.75,0,0,未购买
95369,34,女,21,12,35.22,0,3.08,1,409.58,中
95370,25,女,20,6,42.72,0,1.8,0,0,未购买
95371,18,男,18,5,56.12,1,2.06,0,0,未购买
95372,37,女,14,5,19.62,0,9.18,0,0,未购买
95373,35,男,15,4,40.79,0,5.27,0,0,未购买
95374,50,女,12,8,53.6,0,2.18,0,0,未购买
95375,34,女,16,7,73.23,0,5.03,0,0,未购买
95376,18,女,19,10,74.33,0,3.76,0,0,未购买
95377,48,男,14,6,25.56,1,2.05,0,0,未购买
95378,48,女,14,1,43.99,1,2.26,1,46.15,低
95379,21,女,21,6,41.65,0,3.86,0,0,未购买
95380,40,女,22,2,62.57,0,4.08,1,126.04,低
95381,49,女,16,9,64.28,1,2.78,0,0,未购买
95382,51,女,16,9,29.3,1,3.22,1,309.02,中
95383,48,女,22,7,53.28,1,3.31,0,0,未购买
95384,38,男,18,8,49.83,0,2.26,0,0,未购买
95385,34,女,20,6,50.82,0,3.15,0,0,未购买
95386,29,女,17,11,43.79,0,4.89,0,0,未购买
95387,29,女,13,6,54.44,0,2.03,0,0,未购买
95388,22,女,24,7,44.03,1,1.32,1,358.16,中
95389,40,男,13,6,35.76,1,3.72,1,188.17,低
95390,33,男,18,5,33.65,1,1.89,0,0,未购买
95391,31,男,31,8,69.18,1,2.4,1,546.22,高
95392,34,女,19,6,43.3,0,3.88,0,0,未购买
95393,46,男,23,7,28.61,1,3.04,0,0,未购买
95394,42,男,21,6,45.63,1,2.32,0,0,未购买
95395,18,男,21,3,40.06,1,1.43,0,0,未购买
95396,59,男,19,7,52,0,1.61,0,0,未购买
95397,46,女,20,12,52.77,0,2.93,0,0,未购买
95398,30,女,15,9,45.3,0,2.07,0,0,未购买
95399,35,男,15,7,49.55,0,3.46,0,0,未购买
95400,34,女,19,6,46.14,,1.4,0,0,未购买
95401,25,男,9,11,68.54,1,3.01,0,0,未购买
95402,31,女,21,7,19.12,0,1.49,1,155.18,低
95403,25,女,14,7,52.81,1,4.47,0,0,未购买
95404,44,女,19,8,48.75,1,2.94,0,0,未购买
95405,18,男,20,9,59.49,1,2.04,0,0,未购买
95406,28,女,18,5,51.97,0,5.32,1,237.75,低
95407,25,女,16,6,48.66,0,1.95,0,0,未购买
95408,53,男,19,10,40.09,0,1.51,1,436.39,中
95409,43,男,18,10,79.36,0,4.58,0,0,未购买
95410,40,女,17,4,58.97,0,0.5,0,0,未购买
95411,46,女,21,7,44.07,1,2.15,0,0,未购买
95412,35,男,15,7,34.09,1,2.33,0,0,未购买
95413,33,女,25,4,25.78,0,1.74,0,0,未购买
95414,34,女,10,7,56.37,,6.69,0,0,未购买
95415,30,男,21,9,63.92,0,2.56,0,0,未购买
95416,42,男,21,4,31.36,0,4.32,0,0,未购买
95417,45,女,13,6,23.65,0,4.49,1,161.89,低
95418,42,女,14,9,45.75,0,2.31,1,515.18,高
95419,31,女,21,3,58.27,0,2.7,0,0,未购买
95420,29,男,13,2,42.94,0,2.63,0,0,未购买
95421,57,男,29,1,46.05,,3.87,0,0,未购买
95422,31,男,20,10,46.4,0,1.54,0,0,未购买
95423,49,男,12,6,56.23,1,5.58,0,0,未购买
95424,31,女,24,5,33.42,1,7.41,0,0,未购买
95425,31,女,16,5,57.75,1,3.55,0,0,未购买
95426,,女,13,3,36.93,1,,0,0,未购买
95427,50,男,19,5,68.89,0,2.42,0,0,未购买
95428,39,女,18,8,19.94,0,2.25,1,133.54,低
95429,29,男,18,6,74.79,0,3.99,0,0,未购买
95430,59,女,19,2,42.26,1,1.38,0,0,未购买
95431,37,男,25,6,33.66,0,4.09,0,0,未购买
95432,33,女,18,5,57.69,0,2.07,0,0,未购买
95433,41,女,25,7,51.03,0,2.8,1,358.88,中
95434,25,女,12,9,71.36,0,3.29,1,618.49,高
95435,43,女,16,8,51.4,0,2.39,0,0,未购买
95436,25,男,16,9,56.33,1,4.6,0,0,未购买
95437,42,女,13,9,48.8,0,1.62,0,0,未购买
95438,51,男,18,10,51.66,1,6.15,0,0,未购买
95439,26,男,12,1,45.81,1,3.85,0,0,未购买
95440,36,男,22,6,35.68,0,4.92,0,0,未购买
95441,39,女,20,3,45.2,1,3.71,0,0,未购买
95442,45,女,15,3,65.27,0,2.94,0,0,未购买
95443,40,女,15,6,43.83,,3.15,0,0,未购买
95444,36,男,11,7,48.45,1,3.88,0,0,未购买
95445,49,男,22,7,48.61,1,1.22,1,309.66,中
95446,37,男,10,6,41.11,0,1.88,0,0,未购买
95447,28,男,17,5,32.56,1,2.72,1,176.12,低
95448,24,男,14,8,51,1,0.75,1,417.88,中
95449,47,女,12,6,46.3,0,1.37,0,0,未购买
95450,50,女,18,11,44.95,0,2.36,0,0,未购买
95451,37,女,13,10,63.62,0,2.96,0,0,未购买
95452,20,女,12,4,29.06,0,4.59,0,0,未购买
95453,30,女,18,8,85.44,0,2.67,0,0,未购买
95454,48,男,15,8,71.52,0,2.11,0,0,未购买
95455,40,男,25,12,48.89,0,4.95,0,0,未购买
95456,20,男,15,6,47.56,1,4.15,0,0,未购买
95457,40,女,10,6,53.75,0,4.53,0,0,未购买
95458,34,女,18,8,56.75,0,2.24,0,0,未购买
95459,44,男,11,11,35.29,0,2.1,0,0,未购买
95460,31,男,15,8,33.44,0,6.35,0,0,未购买
95461,,男,16,7,54.56,0,0.87,0,0,未购买
95462,33,女,11,12,68.18,1,5.25,0,0,未购买
95463,18,女,28,5,32.34,0,1.55,0,0,未购买
95464,29,男,13,6,31.8,0,7.19,0,0,未购买
95465,38,男,15,10,53.13,1,0.96,1,509.72,高
95466,36,男,12,10,45.94,0,1.18,1,446.98,高
95467,,男,23,5,38.16,0,2.99,0,0,未购买
95468,19,女,22,8,58.57,0,1.13,0,0,未购买
95469,47,女,27,7,49.92,1,1.83,1,345,中
95470,51,女,22,10,27.7,1,1.84,1,269.31,低
95471,26,男,18,5,72.37,1,5.7,0,0,未购买
95472,44,男,17,5,69.67,1,3.07,0,0,未购买
95473,41,女,15,6,48.16,1,1.04,1,231.56,低
95474,22,女,22,4,34.05,1,1.2,1,142.45,低
95475,39,男,20,6,37.68,1,2.06,0,0,未购买
95476,63,女,24,9,45.47,0,3.01,1,353.32,中
95477,22,女,26,8,58.72,1,1.53,1,530.66,高
95478,49,女,24,7,46.98,1,7.36,0,0,未购买
95479,35,男,15,17,49.63,0,2.02,0,0,未购买
95480,32,男,20,9,39.83,1,2.9,1,290.31,中
95481,48,男,19,7,38.22,1,1.85,1,250.4,低
95482,29,女,18,6,55.73,0,2.25,0,0,未购买
95483,36,女,16,8,42.27,0,1.69,0,0,未购买
95484,34,女,9,5,38.97,0,2.01,0,0,未购买
95485,25,女,26,8,48.32,0,3.26,0,0,未购买
95486,47,女,15,5,42.64,0,6.85,0,0,未购买
95487,40,女,14,11,43.76,0,3.1,0,0,未购买
95488,58,女,16,6,32.15,0,3.02,1,222.37,低
95489,37,女,18,11,30.13,0,5,0,0,未购买
95490,34,男,22,9,64.17,1,4.05,0,0,未购买
95491,32,男,19,5,58.23,0,2.97,1,282.3,低
95492,32,女,14,8,53.28,0,6.26,0,0,未购买
95493,50,女,18,9,38.18,1,1.43,1,339.57,中
95494,29,男,13,8,31.46,0,3.01,0,0,未购买
95495,40,男,16,5,45.79,1,3.79,0,0,未购买
95496,32,女,18,5,37.66,0,1.87,0,0,未购买
95497,22,女,13,13,77.97,1,1.37,0,0,未购买
95498,38,女,18,7,64.37,0,4.5,1,427.61,中
95499,20,女,20,14,38.22,0,5.71,0,0,未购买
95500,37,女,16,7,55.34,0,2.1,0,0,未购买
95501,30,男,20,5,18.72,1,3.05,1,81.14,低
95502,31,女,11,12,58.44,1,2.5,0,0,未购买
95503,34,女,23,7,28.27,0,2.12,0,0,未购买
95504,35,女,14,7,76.87,1,4.96,0,0,未购买
95505,33,女,26,8,58.66,0,1.25,0,0,未购买
95506,40,男,18,4,42.73,1,4.21,1,175.14,低
95507,35,男,19,6,43.52,0,3.54,0,0,未购买
95508,63,女,15,6,53.22,0,1.68,0,0,未购买
95509,24,男,18,8,28.05,0,1.85,0,0,未购买
95510,24,男,11,6,41.87,0,6,0,0,未购买
95511,31,女,20,7,61.1,0,4.34,0,0,未购买
95512,26,男,27,5,66.18,1,1.09,0,0,未购买
95513,47,男,15,11,47.93,1,2.96,1,609.84,高
95514,52,女,18,11,52.81,1,2.17,1,547.28,高
95515,31,男,10,5,39.76,1,6.66,1,175.64,低
95516,40,女,16,9,18.37,0,1.53,0,0,未购买
95517,39,男,19,5,24.36,1,4.45,0,0,未购买
95518,30,女,15,9,35.66,1,1.54,0,0,未购买
95519,41,女,22,13,66.31,0,2.3,0,0,未购买
95520,43,男,19,10,60.85,0,2.02,1,561.38,高
95521,18,女,14,6,46.5,1,2.92,0,0,未购买
95522,23,男,18,6,36.34,0,4.22,0,0,未购买
95523,32,男,18,6,77.44,0,3.42,0,0,未购买
95524,32,男,19,2,47.92,1,1.46,0,0,未购买
95525,36,男,25,10,32.68,1,5.03,1,333.18,中
95526,26,男,24,8,45.12,0,3.48,1,328.01,中
95527,25,男,17,10,46.74,0,4.13,1,401.54,中
95528,31,男,29,13,43.65,1,2,0,0,未购买
95529,23,女,16,6,47.28,0,1.03,0,0,未购买
95530,47,男,14,7,46,0,2.38,0,0,未购买
95531,45,女,26,6,47.68,0,5.21,1,291.51,中
95532,41,女,17,9,20.24,0,1.92,0,0,未购买
95533,45,男,19,8,51.67,0,2.17,0,0,未购买
95534,31,女,21,2,46.63,0,3.45,0,0,未购买
95535,31,男,18,10,51.51,0,5.14,0,0,未购买
95536,39,女,21,8,56.84,0,1.32,0,0,未购买
95537,43,男,19,5,26.34,0,2.25,0,0,未购买
95538,39,男,20,5,36.16,1,2.01,1,219.52,低
95539,38,男,22,3,47.88,1,5.72,1,161.16,低
95540,,男,21,8,30.11,0,4.29,0,0,未购买
95541,45,男,12,10,54.75,0,1.51,0,0,未购买
95542,46,女,19,14,37.94,1,3.76,1,532.03,高
95543,33,男,11,10,44.57,0,3.69,1,380.87,中
95544,41,女,19,7,65.44,0,6.54,1,424.45,中
95545,,女,19,9,47.14,1,3.02,0,0,未购买
95546,18,女,23,9,27.3,1,4.6,0,0,未购买
95547,31,女,17,12,47.15,1,6.3,1,516.1,高
95548,29,女,23,6,52.44,1,6.04,1,280.95,低
95549,53,男,19,6,63.72,0,5.76,0,0,未购买
95550,32,男,22,7,49.34,1,2.54,0,0,未购买
95551,39,女,17,9,42.37,0,2.51,0,0,未购买
95552,,女,16,6,74.21,1,3.22,0,0,未购买
95553,21,男,21,10,33.34,0,4.29,0,0,未购买
95554,,女,20,9,50.95,0,4.43,1,434.39,中
95555,35,男,23,10,51.29,0,1.8,0,0,未购买
95556,51,男,18,7,38.42,0,3.96,1,299.44,中
95557,29,男,15,6,62.3,1,2.83,0,0,未购买
95558,41,男,23,7,63.47,0,3.47,0,0,未购买
95559,41,女,21,3,40.87,0,5.02,0,0,未购买
95560,27,男,16,7,40.51,0,1.77,1,234.46,低
95561,18,男,24,9,47.56,1,1.9,0,0,未购买
95562,35,女,19,9,64.17,0,2.05,0,0,未购买
95563,47,男,11,5,41.11,1,1.2,0,0,未购买
95564,38,女,16,12,42.26,0,4.66,0,0,未购买
95565,44,女,14,2,63.05,1,3.23,0,0,未购买
95566,29,男,17,11,60.46,1,1.28,0,0,未购买
95567,43,女,18,6,34.77,1,2.02,1,219.64,低
95568,18,女,25,5,62.35,1,1.48,0,0,未购买
95569,41,女,18,8,71.71,0,1.94,0,0,未购买
95570,18,男,19,8,15,1,3.2,0,0,未购买
95571,41,男,16,4,23.52,1,1.15,0,0,未购买
95572,29,男,21,9,38.12,0,3.27,0,0,未购买
95573,43,女,18,10,26.97,1,0.94,0,0,未购买
95574,35,女,17,9,65.01,0,3.12,1,611.01,高
95575,46,女,16,10,41.7,0,3.18,1,388.91,中
95576,39,女,17,7,20.26,0,2.96,0,0,未购买
95577,36,女,6,2,29.45,0,3.18,0,0,未购买
95578,47,男,24,11,49.82,0,3.35,1,455.52,高
95579,39,女,18,5,40.54,1,1.93,0,0,未购买
95580,52,男,17,2,65.71,0,1.5,0,0,未购买
95581,35,女,20,9,22.47,0,2.07,1,187.42,低
95582,33,男,18,8,36.02,1,2.94,1,257.33,低
95583,26,女,20,14,63.95,0,3.46,0,0,未购买
95584,29,女,12,8,25.62,0,1.57,0,0,未购买
95585,33,男,23,13,34.86,0,2.49,0,0,未购买
95586,28,男,16,10,50.35,0,2.04,0,0,未购买
95587,41,女,17,5,28.07,1,3.19,0,0,未购买
95588,22,女,21,7,15,1,5.09,0,0,未购买
95589,26,女,24,4,50.69,1,4.29,1,207.86,低
95590,18,男,19,8,25.99,0,4.54,0,0,未购买
95591,28,男,12,4,56.54,0,3.41,0,0,未购买
95592,47,男,13,10,28.32,0,4.05,1,259.7,低
95593,30,女,20,5,42.44,0,2.61,0,0,未购买
95594,27,男,22,7,56.27,1,3.09,1,389.88,中
95595,28,女,20,5,49.37,0,4.16,0,0,未购买
95596,39,女,15,3,73.76,0,2.78,0,0,未购买
95597,48,男,15,6,30.72,1,2.29,0,0,未购买
95598,44,女,19,4,67.72,0,3.52,0,0,未购买
95599,22,女,21,3,75.96,0,1.64,0,0,未购买
95600,49,男,13,8,72.67,0,2.9,0,0,未购买
95601,45,男,22,7,31.71,1,2.09,1,214.56,低
95602,40,男,23,5,54.09,1,3.07,1,278.99,低
95603,24,男,19,6,42.85,0,2.06,1,272.51,低
95604,26,女,12,2,61.34,0,1.94,1,124.93,低
95605,27,女,15,3,37.83,0,6.82,0,0,未购买
95606,30,女,23,6,50.13,,1.44,1,300.99,中
95607,37,男,20,6,42.06,1,1.61,0,0,未购买
95608,18,男,15,4,40.28,0,2.3,1,148.89,低
95609,22,男,11,7,70.78,0,2.98,1,422.12,中
95610,33,女,26,2,48.91,0,1.98,0,0,未购买
95611,45,男,14,7,70.78,0,2.1,0,0,未购买
95612,32,男,27,5,47.37,0,,0,0,未购买
95613,37,男,20,10,83.47,0,1.27,1,682.04,高
95614,46,女,19,8,31.65,0,1.79,1,262.44,低
95615,27,男,18,10,53.07,0,2.3,0,0,未购买
95616,25,男,16,12,71.25,0,3.92,0,0,未购买
95617,24,女,13,9,33.36,0,2.77,0,0,未购买
95618,32,男,19,2,31.94,1,4.96,0,0,未购买
95619,28,男,17,9,42.27,1,3.25,1,433.38,中
95620,52,男,21,10,85.23,0,2.15,1,872.94,高
95621,37,男,22,4,36.62,0,3.45,0,0,未购买
95622,42,男,15,7,56.69,0,3.62,0,0,未购买
95623,26,女,10,8,63.47,0,1.58,0,0,未购买
95624,35,男,27,10,38.08,0,2.49,0,0,未购买
95625,32,女,16,7,55,0,2.47,0,0,未购买
95626,37,男,13,6,34.46,0,1.87,0,0,未购买
95627,39,女,14,11,60.18,1,1.74,1,760.07,高
95628,,男,16,8,73.94,1,2.9,0,0,未购买
95629,33,女,18,5,54.49,0,3.27,0,0,未购买
95630,46,男,22,9,32.78,0,4.62,0,0,未购买
95631,26,男,20,8,69.85,0,2.82,0,0,未购买
95632,42,男,15,5,33.86,1,1.76,0,0,未购买
95633,38,女,19,8,62.83,0,3.35,0,0,未购买
95634,42,女,12,9,68.26,1,2.9,0,0,未购买
95635,32,女,20,3,55.18,0,1.97,1,145.94,低
95636,45,女,16,4,25.59,0,3.35,0,0,未购买
95637,29,女,19,6,31.4,0,1.69,0,0,未购买
95638,40,男,18,7,15,0,3.85,0,0,未购买
95639,40,男,25,6,28.46,0,1.34,0,0,未购买
95640,37,女,17,10,55.43,1,2.05,1,523.13,高
95641,45,男,13,6,59.32,0,1.79,1,361.59,中
95642,46,女,20,6,63.1,0,2.26,0,0,未购买
95643,42,男,17,5,30.41,0,1.5,0,0,未购买
95644,53,女,24,4,60.65,0,9.24,0,0,未购买
95645,31,女,24,10,48.33,1,2.88,1,532.99,高
95646,32,男,20,7,30.82,1,2.82,0,0,未购买
95647,38,男,19,8,63.3,0,5.82,1,510.57,高
95648,33,女,16,7,38.82,0,4.16,0,0,未购买
95649,31,男,11,6,55.2,1,0.88,0,0,未购买
95650,20,男,18,6,39.41,1,1.48,1,266.19,低
95651,43,男,17,11,57.28,0,3.15,1,542.37,高
95652,34,女,21,8,29.61,1,3.69,1,232.55,低
95653,34,男,21,4,46.67,1,1.16,0,0,未购买
95654,25,女,18,3,41.04,0,5.49,0,0,未购买
95655,31,女,11,5,16.83,0,1.75,0,0,未购买
95656,37,男,11,15,45.19,1,2.54,1,697.3,高
95657,23,男,17,6,46.99,1,1.71,0,0,未购买
95658,33,男,21,6,53.5,0,3.68,0,0,未购买
95659,31,女,16,10,41.17,0,1.7,1,471.91,高
95660,34,女,20,5,64.26,1,3.78,0,0,未购买
95661,33,男,15,6,39.22,1,2.26,0,0,未购买
95662,22,女,21,4,33.57,1,3.94,0,0,未购买
95663,43,女,17,11,37.09,0,3.5,1,432.38,中
95664,18,女,15,10,32.97,1,3.36,1,283.47,低
95665,37,男,20,10,33.42,0,5.92,0,0,未购买
95666,45,男,20,8,62.31,0,2.89,0,0,未购买
95667,34,女,18,5,58.93,1,5.36,0,0,未购买
95668,21,男,18,10,62.51,1,2.38,1,629.79,高
95669,43,男,22,7,62.34,1,1.91,1,335.8,中
95670,19,女,20,6,44.95,1,1.62,0,0,未购买
95671,32,女,22,5,57.58,1,1.01,0,0,未购买
95672,46,女,18,6,53.3,1,3.72,0,0,未购买
95673,34,女,17,7,69.91,0,2.34,0,0,未购买
95674,35,男,19,3,42.2,0,2.27,0,0,未购买
95675,47,女,22,8,45.4,0,3.72,1,402.6,中
95676,20,男,19,10,41.23,1,1.83,1,396.1,中
95677,35,男,26,6,52.22,1,2.16,0,0,未购买
95678,35,女,17,8,40.03,0,1.75,0,0,未购买
95679,27,男,13,8,61.47,0,1.82,0,0,未购买
95680,,女,12,13,30.93,0,2.87,1,388.58,中
95681,45,女,19,10,55.43,0,3.14,0,0,未购买
95682,18,男,11,5,53.29,1,3.13,0,0,未购买
95683,33,男,22,4,51.29,0,4.59,0,0,未购买
95684,28,男,15,14,36.72,1,2.95,1,460.25,高
95685,37,男,17,13,22.56,0,1.95,0,0,未购买
95686,30,女,13,6,49.83,0,2.33,0,0,未购买
95687,37,女,16,10,35.72,1,1.71,1,373.16,中
95688,34,女,14,9,46.81,0,2.82,1,456.7,高
95689,35,女,15,11,35.73,0,4.04,0,0,未购买
95690,34,女,16,7,46.04,0,3.2,0,0,未购买
95691,36,男,28,5,38.86,1,2.8,0,0,未购买
95692,37,男,14,6,34.3,0,3.97,0,0,未购买
95693,36,女,20,8,30.07,0,2.85,0,0,未购买
95694,33,男,16,8,40.5,0,2.25,1,335.05,中
95695,45,女,17,13,51.6,0,2.37,1,641.42,高
95696,26,男,17,7,58.57,0,1.8,1,434.66,中
95697,57,女,8,3,42.39,0,2.81,0,0,未购买
95698,26,女,19,8,75.16,0,2.15,0,0,未购买
95699,30,女,15,5,36.6,0,7.29,0,0,未购买
95700,18,女,17,7,46.95,1,2.94,1,336.22,中
95701,32,男,15,6,50.26,0,1.86,0,0,未购买
95702,44,女,22,9,35.89,1,1.27,0,0,未购买
95703,25,男,19,11,24.95,0,1.83,1,281.78,低
95704,49,男,25,9,63.86,1,2.63,1,424.55,中
95705,33,女,17,7,66.06,1,4.11,0,0,未购买
95706,21,女,17,10,50.46,0,4.1,0,0,未购买
95707,27,男,18,5,57.16,1,2.64,0,0,未购买
95708,40,女,22,6,58.92,,4.63,0,0,未购买
95709,30,女,12,5,57.21,0,5.31,0,0,未购买
95710,51,男,15,8,58.57,1,1.19,1,406.27,中
95711,28,女,22,6,49.43,1,4.04,0,0,未购买
95712,34,女,27,6,42.54,0,2.2,0,0,未购买
95713,29,女,16,6,54.64,1,1.85,0,0,未购买
95714,44,男,18,10,43.18,0,1.81,0,0,未购买
95715,20,女,19,6,32.74,0,2.72,0,0,未购买
95716,18,女,22,8,76.26,1,2.17,1,621.61,高
95717,30,男,18,10,33.11,1,5.32,0,0,未购买
95718,33,女,10,9,38.17,0,2.23,0,0,未购买
95719,18,女,25,4,81.54,0,3.08,0,0,未购买
95720,39,男,18,12,54.12,0,1.42,1,727.24,高
95721,42,女,17,11,42.14,0,1.34,0,0,未购买
95722,31,女,17,7,46.43,0,0.97,1,361.29,中
95723,28,男,18,6,50.06,0,1.68,0,0,未购买
95724,50,男,24,8,54.4,0,2.8,0,0,未购买
95725,24,女,16,6,38.56,0,1.71,0,0,未购买
95726,40,男,11,7,61.1,1,1.96,1,337.14,中
95727,30,女,20,9,52.14,1,3.48,1,529.05,高
95728,37,男,16,6,69.92,0,2.07,0,0,未购买
95729,43,男,27,7,27.16,0,2.07,1,190.78,低
95730,38,女,16,11,56.21,0,3.2,1,571.41,高
95731,18,男,17,8,51.2,0,1.04,1,482.52,高
95732,44,男,12,1,60.86,0,1.04,0,0,未购买
95733,18,男,12,4,75.82,1,5.5,0,0,未购买
95734,42,男,17,8,15,0,1.3,0,0,未购买
95735,40,女,18,9,30.27,0,2.54,0,0,未购买
95736,32,女,19,5,55.39,1,3,0,0,未购买
95737,40,男,20,10,69.42,1,2.62,0,0,未购买
95738,24,男,20,11,64.44,1,1.35,1,732.82,高
95739,22,男,13,6,57.69,0,4.86,0,0,未购买
95740,41,男,13,5,54.95,0,5.72,1,306.3,中
95741,32,男,17,8,49.88,0,1.91,0,0,未购买
95742,50,男,23,7,55.3,1,0.95,0,0,未购买
95743,31,男,19,2,39.51,0,9.33,0,0,未购买
95744,25,男,16,5,47.76,1,2.39,0,0,未购买
95745,61,女,15,10,61.61,0,5.21,0,0,未购买
95746,21,男,15,12,54.13,0,3.13,1,644.3,高
95747,36,女,15,7,39.15,0,6.27,0,0,未购买
95748,36,男,20,5,48.43,0,2.27,1,234.19,低
95749,42,女,17,8,50.3,1,2.29,1,372.94,中
95750,32,女,16,4,38.79,1,2.05,0,0,未购买
95751,32,女,20,6,30.4,0,5.07,0,0,未购买
95752,34,男,15,9,56.45,0,9.97,0,0,未购买
95753,53,男,9,6,35.35,1,1.54,0,0,未购买
95754,44,男,17,6,45.65,0,6.03,0,0,未购买
95755,26,男,15,4,55.47,0,0.77,1,209.86,低
95756,30,男,19,6,72.34,0,0.63,0,0,未购买
95757,34,女,20,9,44.29,1,2.23,0,0,未购买
95758,26,男,17,6,52.18,0,1.03,0,0,未购买
95759,19,男,14,10,51.68,0,2.08,0,0,未购买
95760,28,女,15,7,59,0,4.02,0,0,未购买
95761,26,男,18,6,54.02,1,4.44,0,0,未购买
95762,51,男,17,7,38.78,0,4.49,1,264.49,低
95763,36,女,17,5,48.68,1,1.48,0,0,未购买
95764,20,男,12,5,46.23,1,2.5,0,0,未购买
95765,32,女,11,14,18.61,0,1.52,1,176.46,低
95766,39,男,16,7,27.61,0,,1,171.93,低
95767,42,女,21,5,41.19,1,4.77,1,191.06,低
95768,37,男,15,8,59.93,0,2.39,0,0,未购买
95769,40,女,12,5,61.73,1,4.01,1,279.06,低
95770,34,女,15,13,74.51,0,4.62,0,0,未购买
95771,34,男,17,4,33.81,1,4.47,0,0,未购买
95772,65,男,17,11,56.58,0,7.23,0,0,未购买
95773,29,男,23,7,50.05,0,2.85,0,0,未购买
95774,22,女,22,4,57.24,0,3.16,0,0,未购买
95775,31,男,17,8,72.61,0,1.06,0,0,未购买
95776,34,女,16,3,41.1,0,2.98,0,0,未购买
95777,19,男,18,7,76.59,0,6.22,0,0,未购买
95778,40,女,21,4,60.31,1,1.22,0,0,未购买
95779,29,女,15,9,40.68,0,3.41,0,0,未购买
95780,18,女,20,7,66.8,0,1.83,0,0,未购买
95781,35,男,18,3,62.78,1,1.11,0,0,未购买
95782,27,男,23,8,61.86,1,2.83,0,0,未购买
95783,45,男,14,6,40.33,0,3.68,0,0,未购买
95784,25,男,26,9,61.61,0,2.04,0,0,未购买
95785,30,男,13,8,47.05,0,1.84,0,0,未购买
95786,38,女,12,5,37.01,1,5.36,1,157.38,低
95787,31,女,16,5,50.2,0,5,0,0,未购买
95788,26,男,24,5,22.42,0,4.5,0,0,未购买
95789,26,男,24,9,60.67,1,5.8,0,0,未购买
95790,47,女,22,7,49.04,1,2.59,1,320.42,中
95791,30,男,17,7,32.31,1,3.15,1,238.83,低
95792,23,女,23,10,58.85,1,3.11,1,660.55,高
95793,32,男,16,6,52.73,1,2.45,0,0,未购买
95794,34,女,15,8,36.04,1,2.19,0,0,未购买
95795,41,男,14,5,68.86,0,1.03,0,0,未购买
95796,22,女,15,6,45.93,1,3.84,0,0,未购买
95797,52,男,17,9,46.55,1,3.04,0,0,未购买
95798,30,女,18,5,72.98,0,1.84,0,0,未购买
95799,52,男,14,3,54.15,0,2,0,0,未购买
95800,37,女,25,5,51.73,0,1.3,0,0,未购买
95801,41,男,24,13,38.8,1,2.34,1,594.16,高
95802,43,男,26,18,56.27,0,1.58,1,930.31,高
95803,31,男,17,7,37.09,1,3.62,1,287.31,中
95804,21,男,25,9,71.28,1,1.98,0,0,未购买
95805,42,女,10,4,70.37,0,2.47,0,0,未购买
95806,57,女,12,9,40.35,1,3.86,1,342.99,中
95807,35,男,20,9,50.98,0,8.01,0,0,未购买
95808,36,女,16,6,46.88,1,5.28,0,0,未购买
95809,38,女,29,11,31.23,0,3.59,0,0,未购买
95810,20,男,13,7,48.36,0,3.95,1,347.18,中
95811,47,男,18,12,63.93,0,4.48,1,676.69,高
95812,23,男,19,3,29.97,0,1.15,0,0,未购买
95813,50,女,17,3,35,0,1.32,0,0,未购买
95814,,女,23,6,59.83,1,3.38,0,0,未购买
95815,48,男,17,4,39,0,2.54,0,0,未购买
95816,18,女,15,5,60.25,1,4.63,1,240.73,低
95817,44,女,13,6,89.29,0,2.84,0,0,未购买
95818,37,男,18,6,30.17,1,4.92,0,0,未购买
95819,33,女,11,7,55.19,0,1.9,1,362.13,中
95820,46,男,13,11,68.45,1,3.17,0,0,未购买
95821,43,男,19,10,52.89,0,3.91,0,0,未购买
95822,37,男,17,4,62.94,0,5,0,0,未购买
95823,18,男,9,12,30.96,0,2.11,1,434.41,中
95824,32,男,17,1,41.58,0,2.23,0,0,未购买
